Optimization;Ayupov Hit Sum;Ayupov Precision;Staleness
simplifycfg;102,9095;0,816742;0,183258
lcssa;125,7445;0,990114;0,009886
strip-dead-prototypes;128,1270;0,985592;0,014408
loop-vectorize;123,1742;0,969876;0,030124
final_results;4,2207;0,111072;0,888928
adce;127,6737;0,982105;0,017895
indvars;115,2336;0,907351;0,092649
dse;128,0604;0,985080;0,014920
tailcallelim;126,7223;0,974787;0,025213
loop-simplify;12,0000;1,000000;0,000000
mldst-motion;128,0795;0,985227;0,014773
jump-threading;109,2766;0,840589;0,159411
div-rem-pairs;128,1270;0,985592;0,014408
callsite-splitting;128,1270;0,985592;0,014408
loop-sink;125,7445;0,990114;0,009886
sroa;127,2297;0,978690;0,021310
speculative-execution;122,5056;0,942351;0,057649
mem2reg;128,1270;0,985592;0,014408
inline;3,0000;1,000000;0,000000
loop-deletion;125,7445;0,990114;0,009886
instsimplify;124,4557;0,957352;0,042648
inferattrs;128,1270;0,985592;0,014408
lower-constant-intrinsics;128,1270;0,985592;0,014408
licm;116,3279;0,915968;0,084032
correlated-propagation;125,9856;0,969120;0,030880
slp-vectorizer;127,4383;0,980295;0,019705
memcpyopt;127,9373;0,984133;0,015867
bdce;127,3495;0,979612;0,020388
reassociate;126,5019;0,965663;0,034337
loop-idiom;124,7052;0,981931;0,018069
sccp;126,5353;0,973348;0,026652
globalopt;128,1270;0,985592;0,014408
forceattrs;128,1270;0,985592;0,014408
gvn;102,3421;0,787247;0,212753
loop-load-elim;125,7288;0,989991;0,010009
loop-rotate;95,6265;0,752965;0,247035
aggressive-instcombine;126,5326;0,973328;0,026672
ipsccp;125,3984;0,964603;0,035397
